Elo(538-MOV)_weight,IP_weight,AUC,Brier
0.278,0.722,0.6161429786429786,0.23744046582268746
0.095,0.905,0.625522113022113,0.2374410018062415
0.279,0.721,0.6160957285957286,0.23744312799370704
0.094,0.906,0.6255740880740881,0.2374436698350049
0.28,0.72,0.6160484785484786,0.2374458191332037
0.093,0.907,0.6256355131355131,0.23744636683224538
0.281,0.719,0.615998865998866,0.23744853924117748
0.092,0.908,0.6256804006804007,0.23744909279796284
0.28200000000000003,0.718,0.6159563409563409,0.23745128831762827
0.091,0.909,0.6256969381969382,0.23745184773215747
0.28300000000000003,0.717,0.6158878283878283,0.2374540663625562
0.09,0.91,0.6257371007371008,0.23745463163482913
0.28400000000000003,0.716,0.6158476658476658,0.23745687337596122
0.089,0.911,0.6257961632961633,0.2374574445059779
0.28500000000000003,0.715,0.6157767907767908,0.2374597093578433
0.088,0.912,0.6258150633150633,0.23746028634560373
0.28600000000000003,0.714,0.6157106407106407,0.23746257430820247
0.08700000000000001,0.913,0.6258575883575884,0.23746315715370667
0.28700000000000003,0.713,0.6156468531468532,0.2374654682270387
0.08600000000000001,0.914,0.625907200907201,0.2374660569302867
0.28800000000000003,0.712,0.6155996030996032,0.237468391114352
0.085,0.915,0.6259686259686259,0.23746898567534372
0.289,0.7110000000000001,0.615524003024003,0.23747134297014244
0.084,0.916,0.626001701001701,0.23747194338887792
0.29,0.71,0.615448402948403,0.2374743237944099
0.083,0.917,0.6260087885087885,0.23747493007088913
0.291,0.7090000000000001,0.6153893403893405,0.2374773335871545
0.082,0.918,0.6260276885276885,0.23747794572137748
0.292,0.708,0.6153633528633529,0.23748037234837613
0.081,0.919,0.6260702135702136,0.2374809903403429
0.293,0.7070000000000001,0.6153350028350029,0.23748344007807484
0.08,0.92,0.6261174636174636,0.23748406392778534
0.294,0.706,0.6152617652617652,0.2374865367762507
0.079,0.921,0.6261647136647137,0.23748716648370496
0.295,0.7050000000000001,0.6152097902097902,0.23748966244290354
0.078,0.922,0.6262025137025137,0.2374902980081016
0.296,0.704,0.6151483651483651,0.2374928170780335
0.077,0.923,0.6262639387639388,0.2374934585009753
0.297,0.7030000000000001,0.6150562275562275,0.23749600068164056
0.076,0.924,0.6262922887922889,0.2374966479623261
0.298,0.702,0.6149806274806274,0.23749921325372472
0.075,0.925,0.6263230013230013,0.237499866392154
0.299,0.7010000000000001,0.6149451899451899,0.23750245479428594
0.074,0.926,0.6263986013986014,0.23750311379045902
0.3,0.7,0.6149192024192024,0.23750572530332426
0.073,0.927,0.6264340389340389,0.23750639015724107
0.301,0.6990000000000001,0.6148979398979398,0.23750902478083963
0.07200000000000001,0.9279999999999999,0.6264765639765639,0.23750969549250017
0.302,0.698,0.6148506898506898,0.23751235322683206
0.07100000000000001,0.929,0.6265049140049139,0.2375130297962364
0.303,0.6970000000000001,0.6147916272916273,0.23751571064130156
0.07,0.9299999999999999,0.6265568890568891,0.23751639306844974
0.304,0.696,0.6147632772632772,0.2375190970242482
0.069,0.931,0.6266301266301266,0.23751978530914009
0.305,0.6950000000000001,0.6146853146853147,0.23752251237567193
0.068,0.9319999999999999,0.6266679266679267,0.23752320651830758
0.306,0.694,0.6146522396522396,0.2375259566955727
0.067,0.933,0.6267317142317141,0.23752665669595208
0.307,0.6930000000000001,0.6145766395766397,0.23752942998395055
0.066,0.9339999999999999,0.6267884142884143,0.23753013584207372
0.308,0.692,0.614536477036477,0.23753293224080552
0.065,0.935,0.6268191268191268,0.23753364395667245
0.309,0.6910000000000001,0.6144963144963145,0.23753646346613755
0.064,0.9359999999999999,0.6268474768474769,0.23753718103974825
0.31,0.69,0.6144396144396145,0.23754002365994664
0.063,0.937,0.6269112644112644,0.2375407470913011
0.311,0.6890000000000001,0.6143829143829145,0.23754361282223282
0.062,0.938,0.6269254394254394,0.23754434211133107
0.312,0.688,0.6143356643356643,0.23754723095299615
0.061,0.9390000000000001,0.626956151956152,0.23754796609983808
0.313,0.687,0.6142482517482517,0.23755087805223649
0.06,0.94,0.6269963144963144,0.2375516190568222
0.314,0.6859999999999999,0.6142246267246266,0.23755455411995388
0.059000000000000004,0.941,0.6270530145530145,0.2375553009822834
0.315,0.685,0.6141537516537516,0.2375582591561484
0.058,0.942,0.627079002079002,0.23755901187622164
0.316,0.6839999999999999,0.6140687015687015,0.23756199316082005
0.057,0.943,0.6270955395955395,0.23756275173863706
0.317,0.683,0.614014364014364,0.2375657561339687
0.056,0.944,0.6271404271404272,0.23756652056952943
0.318,0.6819999999999999,0.6140025515025516,0.23756954807559447
0.055,0.945,0.6271947646947647,0.237570318368899
0.319,0.681,0.6139883764883765,0.23757336898569734
0.054,0.946,0.6272491022491022,0.2375741451367456
0.32,0.6799999999999999,0.6139647514647515,0.2375772188642772
0.053,0.947,0.6273199773199774,0.2375780008730693
0.321,0.679,0.613934038934039,0.23758109771133418
0.052000000000000005,0.948,0.6273719523719524,0.23758188557787005
0.322,0.6779999999999999,0.6138702513702513,0.23758500552686834
0.051000000000000004,0.949,0.6274168399168399,0.23758579925114787
0.323,0.677,0.6138513513513514,0.23758894231087943
0.05,0.95,0.6274475524475525,0.2375897418929028
0.324,0.6759999999999999,0.6137993762993763,0.2375929080633677
0.049,0.951,0.6274759024759025,0.23759371350313482
0.325,0.675,0.6137426762426763,0.23759690278433307
0.048,0.952,0.62755859005859,0.23759771408184394
0.326,0.6739999999999999,0.613648176148176,0.23760092647377548
0.047,0.953,0.6276152901152902,0.23760174362903003
0.327,0.673,0.6136032886032885,0.23760497913169495
0.046,0.954,0.6277192402192402,0.23760580214469332
0.328,0.6719999999999999,0.6135324135324135,0.23760906075809152
0.045,0.955,0.6277641277641278,0.23760988962883361
0.329,0.671,0.613473350973351,0.23761317135296514
0.044,0.956,0.6277712152712153,0.237614006081451
0.33,0.6699999999999999,0.6134190134190134,0.23761731091631588
0.043000000000000003,0.957,0.6277853902853903,0.23761815150254553
0.331,0.669,0.6133481383481385,0.2376214794481437
0.042,0.958,0.6278350028350028,0.23762232589211715
0.332,0.6679999999999999,0.6132961632961633,0.2376256769484486
0.041,0.959,0.6278798903798903,0.2376265292501658
0.333,0.667,0.6132489132489132,0.2376299034172306
0.04,0.96,0.6278917028917029,0.23763076157669147
0.334,0.6659999999999999,0.6132040257040257,0.23763415885448966
0.039,0.961,0.627938952938953,0.23763502287169433
0.335,0.665,0.6131544131544131,0.23763844326022576
0.038,0.962,0.627990927990928,0.23763931313517425
0.336,0.6639999999999999,0.6130717255717255,0.23764275663443898
0.037,0.963,0.6280263655263656,0.23764363236713124
0.337,0.663,0.613012663012663,0.2376470989771293
0.036000000000000004,0.964,0.6280877905877906,0.23764798056756528
0.338,0.6619999999999999,0.6129347004347004,0.23765147028829667
0.035,0.965,0.6281114156114156,0.23765235773647644
0.339,0.661,0.612880362880363,0.23765587056794116
0.034,0.966,0.6281539406539407,0.23765676387386467
0.34,0.6599999999999999,0.6128000378000379,0.23766029981606268
0.033,0.967,0.6281988281988281,0.23766119897972995
0.341,0.659,0.6127173502173502,0.23766475803266132
0.032,0.968,0.6282342657342658,0.23766566305407236
0.342,0.6579999999999999,0.6126890001890002,0.23766924521773702
0.031,0.969,0.6282437157437157,0.2376701560968918
0.343,0.657,0.6126559251559252,0.23767376137128984
0.03,0.97,0.6282673407673408,0.23767467810818835
0.34400000000000003,0.6559999999999999,0.6126039501039502,0.2376783064933197
0.029,0.971,0.6283264033264033,0.23767922908796196
0.34500000000000003,0.655,0.6125307125307125,0.23768288058382667
0.028,0.972,0.6283618408618409,0.2376838090362127
0.34600000000000003,0.6539999999999999,0.6124834624834625,0.23768748364281067
0.027,0.973,0.6283854658854658,0.2376884179529405
0.34700000000000003,0.653,0.6124598374598375,0.2376921156702718
0.026000000000000002,0.974,0.628437440937441,0.23769305583814537
0.34800000000000003,0.6519999999999999,0.6124125874125874,0.23769677666620997
0.025,0.975,0.628461065961066,0.23769772269182732
0.34900000000000003,0.651,0.6123676998676999,0.23770146663062527
0.024,0.976,0.6284681534681535,0.23770241851398635
0.35000000000000003,0.6499999999999999,0.6122802872802873,0.23770618556351758
0.023,0.977,0.6285272160272161,0.23770714330462245
0.35100000000000003,0.649,0.6122023247023247,0.23771093346488703
0.022,0.978,0.6285673785673787,0.23771189706373566
0.352,0.648,0.6121810621810622,0.23771571033473357
0.021,0.979,0.6285839160839162,0.23771667979132594
0.353,0.647,0.6121456246456246,0.23772051617305717
0.02,0.98,0.6286736911736912,0.2377214914873933
0.354,0.646,0.6120794745794745,0.23772535097985786
0.019,0.981,0.6287327537327537,0.23772633215193775
0.355,0.645,0.612034587034587,0.23773021475513562
0.018000000000000002,0.982,0.6287941787941788,0.2377312017849593
0.356,0.644,0.6119896994896994,0.23773510749889043
0.017,0.983,0.6288390663390664,0.2377361003864579
0.357,0.643,0.6119471744471745,0.23774002921112236
0.016,0.984,0.6288839538839539,0.2377410279564336
