Elo(basic)_weight,IP_weight,AUC,Brier
0.176,0.8240000000000001,0.6220941220941221,0.23711700420638185
0.255,0.745,0.6181298431298431,0.23711739165569992
0.17500000000000002,0.825,0.6221201096201097,0.2371182607418189
0.256,0.744,0.6180518805518804,0.2371186579999804
0.17400000000000002,0.826,0.6221626346626347,0.23711954881325242
0.257,0.743,0.6179833679833681,0.23711995588025744
0.17300000000000001,0.827,0.6222122472122471,0.23712086842068236
0.258,0.742,0.6179054054054054,0.2371212852965309
0.17200000000000001,0.828,0.6222642222642223,0.2371222195641088
0.259,0.741,0.6178581553581555,0.2371226462488008
0.171,0.829,0.6223185598185598,0.23712360224353174
0.26,0.74,0.6177967302967303,0.2371240387370672
0.17,0.83,0.6223870723870724,0.23712501645895107
0.261,0.739,0.6177093177093177,0.23712546276133006
0.169,0.831,0.6224130599130598,0.23712646221036693
0.262,0.738,0.6176502551502552,0.23712691832158944
0.168,0.832,0.6225004725004725,0.23712793949777927
0.263,0.737,0.6175817425817426,0.23712840541784524
0.167,0.833,0.622521735021735,0.23712944832118804
0.264,0.736,0.6175344925344926,0.23712992405009753
0.166,0.834,0.622559535059535,0.2371309886805933
0.265,0.735,0.617480154980155,0.23713147421834627
0.165,0.835,0.6226162351162351,0.237132560575995
0.266,0.734,0.6174187299187299,0.23713305592259148
0.164,0.836,0.6226540351540352,0.23713416400739318
0.267,0.733,0.6173596673596673,0.23713466916283318
0.163,0.837,0.6226965601965603,0.23713579897478784
0.268,0.732,0.6173029673029673,0.23713631393907134
0.162,0.838,0.6227768852768854,0.23713746547817896
0.269,0.731,0.6172486297486297,0.23713799025130594
0.161,0.839,0.6228524853524853,0.23713916351756664
0.27,0.73,0.6172013797013797,0.23713969809953708
0.16,0.84,0.6228831978831979,0.23714089309295067
0.271,0.729,0.6171612171612172,0.23714143748376462
0.159,0.841,0.622949347949348,0.23714265420433117
0.272,0.728,0.6170903420903421,0.23714320840398867
0.158,0.842,0.623020223020223,0.23714444685170824
0.273,0.727,0.617043092043092,0.23714501086020914
0.157,0.843,0.6230651105651106,0.2371462710350817
0.274,0.726,0.6169698544698545,0.23714684485242613
0.156,0.844,0.6231029106029106,0.23714812675445165
0.275,0.725,0.6168777168777169,0.2371487103806396
