w1,w2,w3,AUC,Brier
0.0,0.47000000000000003,0.53,0.603583916083916,0.238269796537625
0.0,0.48,0.52,0.6027310527310528,0.2383550118882199
0.0,0.49,0.51,0.6020648270648271,0.2384433824992131
0.0,0.5,0.5,0.6012096012096012,0.2385349083706046
0.0,0.51,0.49,0.6003543753543753,0.23862958950239435
0.0,0.52,0.48,0.5995771120771121,0.2387274258945824
0.0,0.53,0.47,0.5987336987336986,0.23882841754716874
0.0,0.54,0.45999999999999996,0.597954072954073,0.23893256446015335
0.0,0.55,0.44999999999999996,0.5971980721980723,0.23903986663353624
0.0,0.56,0.43999999999999995,0.5962412587412588,0.2391503240673174
0.0,0.5700000000000001,0.42999999999999994,0.5953836703836703,0.23926393676149685
0.0,0.58,0.42000000000000004,0.5943890568890569,0.2393807047160746
0.0,0.59,0.41000000000000003,0.5935267435267435,0.23950062793105062
0.0,0.6,0.4,0.5927093177093177,0.2396237064064249
0.0,0.61,0.39,0.5918635418635418,0.23974994014219753
0.0,0.62,0.38,0.5909539784539786,0.23987932913836837
0.0,0.63,0.37,0.5899995274995274,0.24001187339493754
0.0,0.64,0.36,0.5890356265356266,0.240147572911905
0.0,0.65,0.35,0.5879417879417879,0.2402864276892707
0.0,0.66,0.33999999999999997,0.587020412020412,0.24042843772703476
0.0,0.67,0.32999999999999996,0.5860092610092611,0.240573603025197
0.0,0.68,0.31999999999999995,0.5850359100359099,0.2407219235837576
0.0,0.6900000000000001,0.30999999999999994,0.5840885465885466,0.24087339940271643
0.0,0.7000000000000001,0.29999999999999993,0.583041958041958,0.2410280304820736
0.0,0.71,0.29000000000000004,0.5821205821205822,0.24118581682182902
0.0,0.72,0.28,0.5811873936873937,0.24134675842198272
0.0,0.73,0.27,0.5801242676242676,0.24151085528253471
0.0,0.74,0.26,0.5790611415611415,0.24167810740348497
0.0,0.75,0.25,0.5780429030429031,0.24184851478483352
0.0,0.76,0.24,0.5769443394443394,0.24202207742658036
0.0,0.77,0.22999999999999998,0.5759804384804386,0.2421987953287255
0.0,0.78,0.21999999999999997,0.574976374976375,0.24237866849126893
0.0,0.79,0.20999999999999996,0.5738919863919864,0.24256169691421062
0.0,0.8,0.19999999999999996,0.572911547911548,0.2427478805975506
0.0,0.81,0.18999999999999995,0.5718460593460593,0.2429372195412888
