method,size,components,AUC,Brier,NDCG,MAP@16,Sp_Standings,Tau_Standings,Sp_Pyth,Tau_Pyth,weights,rank_q,prob_q,SubScore
elo_basic+parx,2,Elo(basic) + PARX,0.6207,0.2351,0.9952,0.8874,0.8599,0.6898,0.8625,0.6855,Elo(basic)=79% / PARX=21%,0.5383955998312101,0.9080165010003514,0.7232
ja_elo+bs,2,J-A-Elo + BS,0.6205,0.2349,0.9949,0.8918,0.8649,0.6979,0.8534,0.6694,J-A-Elo=52% / BS=48%,0.5274304737370868,0.9139555986873789,0.7207
lin_elo+ja_elo+bs,3,Lin-Elo + J-A-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.8649,0.6979,0.8534,0.6694,Lin-Elo=0% / J-A-Elo=50% / BS=50%,0.5274304737370868,0.9136980875295123,0.7206
ja_elo+log_elo+bs,3,J-A-Elo + Log-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.8649,0.6979,0.8534,0.6694,J-A-Elo=50% / Log-Elo=0% / BS=50%,0.5274304737370868,0.9136980875295123,0.7206
ja_elo+bs+parx,3,J-A-Elo + BS + PARX,0.6207,0.2350,0.9949,0.8918,0.8649,0.6979,0.8534,0.6694,J-A-Elo=50% / BS=50% / PARX=0%,0.5274304737370868,0.9136980875295123,0.7206
ja_elo+mult_elo+bs,3,J-A-Elo + Mult-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.8649,0.6979,0.8534,0.6694,J-A-Elo=50% / Mult-Elo=0% / BS=50%,0.5274304737370868,0.9136980875295123,0.7206
elo_basic+ja_elo+parx,3,Elo(basic) + J-A-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.8546,0.6816,0.8541,0.6774,Elo(basic)=80% / J-A-Elo=0% / PARX=20%,0.5308881450357879,0.9078941529060399,0.7194
elo_basic+mult_elo+parx,3,Elo(basic) + Mult-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.8546,0.6816,0.8541,0.6774,Elo(basic)=80% / Mult-Elo=0% / PARX=20%,0.5308881450357879,0.9078941529060399,0.7194
elo_basic+log_elo+parx,3,Elo(basic) + Log-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.8546,0.6816,0.8541,0.6774,Elo(basic)=80% / Log-Elo=0% / PARX=20%,0.5308881450357879,0.9078941529060399,0.7194
elo_basic+lin_elo+parx,3,Elo(basic) + Lin-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.8546,0.6816,0.8541,0.6774,Elo(basic)=80% / Lin-Elo=0% / PARX=20%,0.5308881450357879,0.9078941529060399,0.7194
lin_elo+log_elo+bs,3,Lin-Elo + Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.8761,0.7101,0.8479,0.6653,Lin-Elo=0% / Log-Elo=45% / BS=55%,0.5452154037492046,0.8785023750513576,0.7119
log_elo+bs,2,Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.8761,0.7101,0.8479,0.6653,Log-Elo=45% / BS=55%,0.5452154037492046,0.8785023750513576,0.7119
mult_elo+log_elo+bs,3,Mult-Elo + Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.8761,0.7101,0.8479,0.6653,Mult-Elo=0% / Log-Elo=45% / BS=55%,0.5452154037492046,0.8785023750513576,0.7119
log_elo+bs+parx,3,Log-Elo + BS + PARX,0.6199,0.2356,0.9950,0.9016,0.8761,0.7101,0.8479,0.6653,Log-Elo=45% / BS=55% / PARX=0%,0.5452154037492046,0.8785023750513576,0.7119
bs,1,BS,0.6250,0.2380,0.9963,0.9174,0.9052,0.7508,0.8875,0.7137,—,0.6404971429819873,0.7369441193186091,0.6887
bs+parx,2,BS + PARX,0.6250,0.2380,0.9963,0.9174,0.9052,0.7508,0.8875,0.7137,BS=100% / PARX=0%,0.6404971429819873,0.7369441193186091,0.6887
lin_elo+mult_elo+bs,3,Lin-Elo + Mult-Elo + BS,0.6198,0.2364,0.9947,0.8964,0.8746,0.7101,0.8581,0.6734,Lin-Elo=35% / Mult-Elo=0% / BS=65%,0.5353723158468567,0.8297964928307044,0.6826
lin_elo+bs+parx,3,Lin-Elo + BS + PARX,0.6198,0.2364,0.9947,0.8964,0.8746,0.7101,0.8581,0.6734,Lin-Elo=35% / BS=65% / PARX=-0%,0.5353723158468567,0.8297964928307044,0.6826
lin_elo+bs,2,Lin-Elo + BS,0.6200,0.2364,0.9947,0.8964,0.8764,0.7142,0.8578,0.6694,Lin-Elo=34% / BS=66%,0.5326209701794185,0.8299463436798749,0.6813
mult_elo+bs+parx,3,Mult-Elo + BS + PARX,0.6199,0.2366,0.9948,0.8964,0.8783,0.7182,0.8585,0.6734,Mult-Elo=30% / BS=70% / PARX=-0%,0.5374579636114131,0.8206476653923965,0.6791
mult_elo+bs,2,Mult-Elo + BS,0.6194,0.2366,0.9947,0.8964,0.8764,0.7142,0.8578,0.6694,Mult-Elo=32% / BS=68%,0.5326209701794185,0.8208298063532462,0.6767
elo_basic+mult_elo+log_elo,3,Elo(basic) + Mult-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Mult-Elo=0% / Log-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+lin_elo+ja_elo,3,Elo(basic) + Lin-Elo + J-A-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Lin-Elo=0% / J-A-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+lin_elo+mult_elo,3,Elo(basic) + Lin-Elo + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Lin-Elo=0% / Mult-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+lin_elo+log_elo,3,Elo(basic) + Lin-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Lin-Elo=0% / Log-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+ja_elo+mult_elo,3,Elo(basic) + J-A-Elo + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / J-A-Elo=0% / Mult-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
