w1,w2,w3,AUC,Brier
0.0,0.8300000000000001,0.16999999999999993,0.6305766868266868,0.23749738341279178
0.0,0.84,0.16000000000000003,0.6306215743715744,0.23751253022740162
0.0,0.85,0.15000000000000002,0.6305199867699867,0.23752818387677452
0.0,0.86,0.14,0.6304514742014742,0.2375443443609104
0.0,0.87,0.13,0.630404224154224,0.23756101167980928
0.0,0.88,0.12,0.6304018616518616,0.2375781858334711
0.0,0.89,0.10999999999999999,0.6303664241164242,0.23759586682189596
0.0,0.9,0.09999999999999998,0.630243573993574,0.23761405464508387
0.0,0.91,0.08999999999999997,0.6301915989415989,0.2376327493030347
0.0,0.92,0.07999999999999996,0.6301892364392364,0.23765195079574866
0.0,0.93,0.06999999999999995,0.6301774239274239,0.23767165912322552
0.0,0.9400000000000001,0.05999999999999994,0.6301797864297863,0.23769187428546537
0.0,0.9500000000000001,0.04999999999999993,0.6300758363258363,0.23771259628246824
0.0,0.96,0.040000000000000036,0.6300214987714988,0.23773382511423413
0.0,0.97,0.030000000000000027,0.6299033736533737,0.237755560780763
0.0,0.98,0.020000000000000018,0.629782886032886,0.2377778032820549
0.0,0.99,0.010000000000000009,0.6298065110565111,0.23780055261810973
0.0,1.0,0.0,0.6297427234927235,0.23782380878892762
0.01,0.0,0.99,0.6247661122661122,0.23792655823498418
0.01,0.01,0.98,0.6248606123606123,0.23790001541569408
0.01,0.02,0.97,0.6249929124929126,0.23787397943116695
0.01,0.03,0.96,0.6251630126630126,0.23784845028140283
0.01,0.04,0.95,0.6253827253827253,0.2378234279664018
0.01,0.05,0.94,0.6255433755433755,0.23779891248616367
0.01,0.06,0.9299999999999999,0.6256662256662257,0.23777490384068858
0.01,0.07,0.9199999999999999,0.6258008883008883,0.23775140202997647
0.01,0.08,0.91,0.6259615384615385,0.2377284070540274
0.01,0.09,0.9,0.6262332262332262,0.23770591891284124
0.01,0.1,0.89,0.6264269514269514,0.23768393760641815
0.01,0.11,0.88,0.6264789264789264,0.23766246313475808
0.01,0.12,0.87,0.6265852390852391,0.23764149549786096
0.01,0.13,0.86,0.6266655641655642,0.23762103469572685
0.01,0.14,0.85,0.6267860517860518,0.23760108072835573
0.01,0.15,0.84,0.6268403893403893,0.23758163359574766
0.01,0.16,0.83,0.6269821394821395,0.23756269329790253
0.01,0.17,0.82,0.6271026271026272,0.23754425983482041
0.01,0.18,0.81,0.6272089397089398,0.23752633320650132
0.01,0.19,0.8,0.6272632772632772,0.23750891341294525
0.01,0.2,0.79,0.6273719523719524,0.23749200045415217
0.01,0.21,0.78,0.6273814023814024,0.23747559433012203
0.01,0.22,0.77,0.6274404649404649,0.23745969504085496
0.01,0.23,0.76,0.6274782649782649,0.2374443025863508
0.01,0.24,0.75,0.627544415044415,0.23742941696660969
0.01,0.25,0.74,0.6275680400680401,0.23741503818163162
0.01,0.26,0.73,0.6277712152712153,0.23740116623141652
0.01,0.27,0.72,0.6279271404271405,0.23738780111596444
0.01,0.28,0.71,0.628061803061803,0.2373749428352753
0.01,0.29,0.7,0.6282389907389907,0.2373625913893492
0.01,0.3,0.69,0.6283382158382158,0.23735074677818616
0.01,0.31,0.6799999999999999,0.628522491022491,0.237339409001786
0.01,0.32,0.6699999999999999,0.6285295785295786,0.23732857806014893
